,bandwidth_mbit,bandwidth_mbit_-1,bandwidth_mbit_-10,bandwidth_mbit_-2,bandwidth_mbit_-3,bandwidth_mbit_-4,bandwidth_mbit_-5,bandwidth_mbit_-6,bandwidth_mbit_-7,bandwidth_mbit_-8,bandwidth_mbit_-9,bitrate_level,body_size_byte,buffer_estimate_0,byte_end,byte_start,n_segment,previous_bitrate,previous_quality,previous_vmaf,quality_level_chosen,quality_level_chosen_-1,quality_level_chosen_-10,quality_level_chosen_-2,quality_level_chosen_-3,quality_level_chosen_-4,quality_level_chosen_-5,quality_level_chosen_-6,quality_level_chosen_-7,quality_level_chosen_-8,quality_level_chosen_-9,quality_shift,quality_shift_bitrate_-1,quality_shift_bitrate_-2,quality_shift_bitrate_0,quality_shift_bitrate_1,quality_shift_bitrate_2,quality_shift_byte_-1,quality_shift_byte_-2,quality_shift_byte_0,quality_shift_byte_1,quality_shift_byte_2,quality_shift_vmaf_-1,quality_shift_vmaf_-2,quality_shift_vmaf_0,quality_shift_vmaf_1,quality_shift_vmaf_2,rebuffer_estimate_0,seg_len_s,t_download_s,t_download_s_-1,t_download_s_-10,t_download_s_-2,t_download_s_-3,t_download_s_-4,t_download_s_-5,t_download_s_-6,t_download_s_-7,t_download_s_-8,t_download_s_-9,t_end,t_start,timestamp_finish,timestamp_start,url,vmaf_level
0,1.1997969094922736,,,,,,,,,,,434785.0,543508,0.0,0,0,0,0.0,0,0.0,0,,,,,,,,,,,0,434785.0,434785.0,434785.0,665788.0,1240889.0,543508,543508,543508,832276,1551188,60.0741387250996,60.0741387250996,60.0741387250996,72.52627689243029,85.66210023904381,0.0,10.000489,3.624,,,,,,,,,,,10.0,0.0,1572292861.939,1572292858.112,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment1_476000_av.ts,60.0741387250996
1,1.3905736154885184,,,,,,,,,,,617692.0,772116,0.0,0,0,1,0.0,0,0.0,1,,,,,,,,,,,-1,403523.0,403523.0,403523.0,617692.0,1178384.0,504404,504404,504404,772116,1472980,62.87162004000002,62.87162004000002,62.87162004000002,74.50302367999993,85.79320692,4.075999975204468,10.0,4.442,,,,,,,,,,,20.0,10.0,1572292866.723,1572292862.188,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment2_776000_av.ts,74.50302367999993
2,-0.008,,,,,,,,,,,622505.0,-1,9.97000002861023,0,0,2,0.0,0,0.0,1,,,,,,,,,,,-1,396304.0,396304.0,396304.0,622505.0,1212073.0,495380,495380,495380,778132,1515092,61.90117207999995,61.90117207999995,61.90117207999995,73.23039544000005,84.22418520000005,4.5350000858306885,10.0,0.001,,,,,,,,,,,30.0,20.0,1572292866.764,1572292866.753,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment3_776000_av.ts,73.23039544000005
3,-0.008,2.7362883516483514,,1.3905736154885184,,,,,,,,1344383.0,-1,17.623000144958496,0,0,3,617692.0,1,74.50302367999993,2,1.0,,1.0,,,,,,,,-1,446824.0,446824.0,725958.0,1344383.0,2051843.0,558548,558548,907476,1680532,2564884,53.18780232000002,53.18780232000002,65.82376740000001,77.91295735999998,83.00569204,0.0,10.000311,0.001,2.275,,4.442,,,,,,,,40.0,30.0,1572292869.171,1572292869.1,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment4_1496000_av.ts,77.91295735999998
4,-0.008,7.31063404023926,,2.7362883516483514,1.3905736154885184,,,,,,,2030249.0,-1,25.61899995803833,0,0,4,622505.0,1,73.23039544000005,3,2.0,,1.0,1.0,,,,,,,-2,439619.0,439619.0,706729.0,1317955.0,2030249.0,549524,549524,883412,1647444,2537812,59.53923104000002,59.53923104000002,71.31795659999995,83.18232452,87.77667800000006,0.0,10.0,0.001,1.839,,2.275,4.442,,,,,,,50.0,40.0,1572292871.321,1572292871.104,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment5_2296000_av.ts,87.77667800000006
5,-0.008,7.096293603635091,,7.31063404023926,2.7362883516483514,1.3905736154885184,,,,,,2506716.0,-1,32.47000002861023,0,0,5,1344383.0,2,77.91295735999998,4,3.0,,2.0,1.0,1.0,,,,,,-2,685072.0,454057.0,1192822.0,1760732.0,2506716.0,856340,567572,1491028,2200916,3133396,66.38657760000002,52.67071308,80.45790000000002,86.23117751999997,100.0,0.0,10.0,0.001,2.861,,1.839,2.275,4.442,,,,,,60.0,50.0,1572292874.344,1572292874.253,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment6_3296000_av.ts,100.0
6,-0.008,7.033436588103254,,7.096293603635091,7.31063404023926,2.7362883516483514,1.3905736154885184,,,,,2229951.0,-1,38.740999937057495,0,0,6,2030249.0,3,87.77667800000006,4,4.0,,3.0,2.0,1.0,1.0,,,,,-1,1002703.0,569557.0,1520072.0,2229951.0,2229951.0,1253396,711956,1900116,2787476,2787476,78.75567568,64.03054272,84.75385156000003,100.0,100.0,0.0,10.000133,0.001,3.564,,2.861,1.839,2.275,4.442,,,,,70.0,60.0,1572292877.9970002,1572292877.982,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment7_3296000_av.ts,100.0
7,-0.008,7.518478759271746,,7.033436588103254,7.096293603635091,7.31063404023926,2.7362883516483514,1.3905736154885184,,,,3471683.0,-1,45.68400001525879,0,0,7,2506716.0,4,100.0,4,4.0,,4.0,3.0,2.0,1.0,1.0,,,,0,2444150.0,1601910.0,3471683.0,3471683.0,3471683.0,3055188,2002388,4339604,4339604,4339604,87.76704600000008,81.75047579999999,100.0,100.0,100.0,0.0,10.0,0.001,2.966,,3.564,2.861,1.839,2.275,4.442,,,,80.0,70.0,1572292881.059,1572292881.039,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment8_3296000_av.ts,100.0
8,-0.008,7.5144658008658,,7.518478759271746,7.033436588103254,7.096293603635091,7.31063404023926,2.7362883516483514,1.3905736154885184,,,3228622.0,-1,50.95700001716614,0,0,8,2229951.0,4,100.0,4,4.0,,4.0,4.0,3.0,2.0,1.0,1.0,,,0,2343071.0,1558588.0,3228622.0,3228622.0,3228622.0,2928852,1948244,4035796,4035796,4035796,92.03629732000002,84.33241863999999,100.0,100.0,100.0,0.0,10.000045,0.001,4.62,,2.966,3.564,2.861,1.839,2.275,4.442,,,90.0,80.0,1572292885.787,1572292885.766,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment9_3296000_av.ts,100.0
9,-0.008,7.517198603026775,,7.5144658008658,7.518478759271746,7.033436588103254,7.096293603635091,7.31063404023926,2.7362883516483514,1.3905736154885184,,2749763.0,-1,56.5550000667572,0,0,9,3471683.0,4,100.0,4,4.0,,4.0,4.0,4.0,3.0,2.0,1.0,1.0,,0,2003779.0,1363676.0,2749763.0,2749763.0,2749763.0,2504724,1704596,3437204,3437204,3437204,88.10802460000002,80.03559711999998,100.0,100.0,100.0,0.0,10.0,0.001,4.295,,4.62,2.966,3.564,2.861,1.839,2.275,4.442,,100.0,90.0,1572292890.185,1572292890.168,https://zdfvodnone-vh.akamaihd.net/i/meta-files/zdf/smil/m3u8/300/19/09/190926_entdecker_leif_wv_tex/2/190926_entdecker_leif_wv_tex.smil/segment10_3296000_av.ts,100.0
